bin,mean_pred,obs_event_prob,n,abs_calib_error,model,horizon_months
"(0.016, 0.129]",0.09577160257253951,0.2530747790884432,25403,0.1573031765159037,rsf,36
"(0.129, 0.166]",0.1484652605467542,0.3846653981045356,25403,0.23620013755778138,rsf,36
"(0.166, 0.198]",0.18218215180922565,0.4824401286990089,25403,0.30025797688978323,rsf,36
"(0.198, 0.231]",0.21431509490116565,0.5238402115635552,25402,0.3095251166623896,rsf,36
"(0.231, 0.264]",0.2475120760246023,0.5411969289933394,25403,0.2936848529687371,rsf,36
"(0.264, 0.298]",0.2809883458496917,0.6480863860814776,25403,0.36709804023178594,rsf,36
"(0.298, 0.335]",0.3157575956106548,0.6603075631082997,25402,0.34454996749764494,rsf,36
"(0.335, 0.381]",0.35659845076285945,0.8168226924806884,25403,0.46022424171782894,rsf,36
"(0.381, 0.449]",0.4118231327506948,0.8154424173395568,25403,0.403619284588862,rsf,36
"(0.449, 0.76]",0.5192400951470839,0.9087092163442382,25403,0.38946912119715427,rsf,36
