bin,mean_pred,obs_event_prob,n,abs_calib_error,model,horizon_months
"(-0.000977, 0.1]",0.08680252404078596,0.15043267108740999,25403,0.06363014704662402,cox,24
"(0.1, 0.121]",0.11090715391092291,0.2438930344072071,25403,0.13298588049628418,cox,24
"(0.121, 0.139]",0.1301788031056182,0.33093251128371004,25403,0.20075370817809185,cox,24
"(0.139, 0.158]",0.1486072061884046,0.38866031015881297,25402,0.24005310397040838,cox,24
"(0.158, 0.178]",0.1679393673113868,0.4517308865972819,25403,0.2837915192858951,cox,24
"(0.178, 0.198]",0.18804424756131147,0.5232475350519954,25403,0.33520328749068395,cox,24
"(0.198, 0.218]",0.20797480066170823,0.5879180370888506,25402,0.37994323642714234,cox,24
"(0.218, 0.244]",0.23042818746393653,0.6575775719577075,25403,0.42714938449377093,cox,24
"(0.244, 0.282]",0.26141758799856635,0.7004664708910561,25403,0.4390488828924897,cox,24
"(0.282, 1.0]",0.328152721922412,0.7788161901908837,25403,0.45066346826847165,cox,24
