bin,mean_pred,obs_event_prob,n,abs_calib_error,model,horizon_months
"(0.00218, 0.027]",0.019388785599218025,0.06080470183277131,25403,0.041415916233553285,rsf,12
"(0.027, 0.0367]",0.032013069680642145,0.10425122031617406,25403,0.07223815063553192,rsf,12
"(0.0367, 0.046]",0.04131258431195335,0.13253754772524384,25403,0.09122496341329049,rsf,12
"(0.046, 0.0558]",0.05083428706472862,0.1677853092394097,25402,0.11695102217468109,rsf,12
"(0.0558, 0.0663]",0.06101856369475019,0.19450283980702432,25403,0.13348427611227412,rsf,12
"(0.0663, 0.0773]",0.07173639099109896,0.22715848793924798,25403,0.155422096948149,rsf,12
"(0.0773, 0.0902]",0.0835451785063766,0.2545255886846085,25402,0.1709804101782319,rsf,12
"(0.0902, 0.107]",0.09829611106320985,0.3065259994693337,25403,0.20822988840612383,rsf,12
"(0.107, 0.135]",0.11985373690097267,0.35568236849726387,25403,0.2358286315962912,rsf,12
"(0.135, 0.303]",0.16541670334072744,0.45176951715599656,25403,0.2863528138152691,rsf,12
