model,metric,horizon_months,value
cox,c_index,,0.665473363707867
rsf,c_index,,0.6582287686406708
cox,auc_td,12,0.6760909908318429
cox,auc_td,24,0.6857864972750313
cox,ibs,,0.12117318546420881
rsf,auc_td,12,0.6703574838337149
rsf,auc_td,24,0.6838626897112418
rsf,ibs,,0.11915603647271401
