top_frac,n_targeted,obs_top,obs_all,lift,model,horizon_months
0.05,12701,0.4834026392568257,0.22797753368562446,2.1203959506090033,rsf,12
0.1,25402,0.4517720452138383,0.22797753368562446,1.9816516036041565,rsf,12
0.2,50805,0.40447129641987023,0.22797753368562446,1.7741717347360484,rsf,12
0.3,76208,0.37203233769437594,0.22797753368562446,1.6318815792059562,rsf,12
