model,horizon_months,n_test,pred_mean_pd,pred_expected_defaults,obs_km_pd,obs_top10_km_pd,top10_lift
cox,12,254028,0.07401425804519209,18801.693942704056,0.22797753368562446,0.4264414772179118,1.8705416727859
cox,24,254028,0.18604532106691385,47260.72081998599,0.5035482619959694,0.7788180804513176,1.5466602493358454
cox,36,254028,0.27510551946587625,69884.50489887761,0.630808366956126,0.8816431962544676,1.397640301616018
rsf,12,254028,0.0743415974226121,18884.847310071305,0.22797753368562446,0.4517720452138383,1.9816516036041565
rsf,24,254028,0.18663368742701003,47410.182349708506,0.5035482619959694,0.7902157803867025,1.569295021006403
rsf,36,254028,0.27726547687853054,70433.19456049935,0.630808366956126,0.9087028796816186,1.4405371381905288
