bin,mean_pred,obs_event_prob,n,abs_calib_error,model,horizon_months
"(-0.00099154, 0.0381]",0.03291237117678415,0.051939962897032066,25403,0.019027591720247913,cox,12
"(0.0381, 0.0464]",0.0423888642092466,0.09365343345134247,25403,0.051264569242095874,cox,12
"(0.0464, 0.0537]",0.050087971678701625,0.12828029308597388,25403,0.07819232140727225,cox,12
"(0.0537, 0.0614]",0.05755303196591812,0.16518457299259326,25402,0.10763154102667513,cox,12
"(0.0614, 0.0697]",0.06549495709296042,0.19234946393616958,25403,0.12685450684320915,cox,12
"(0.0697, 0.0781]",0.0738783590464355,0.23452039710593808,25403,0.16064203805950258,cox,12
"(0.0781, 0.0868]",0.08231969316294054,0.2772353710955534,25402,0.19491567793261289,cox,12
"(0.0868, 0.0978]",0.0919950708403768,0.31142558618420757,25403,0.2194305153438308,cox,12
"(0.0978, 0.115]",0.1056549748700922,0.35829996816641896,25403,0.2526449932963267,cox,12
"(0.115, 1.0]",0.13785696535225275,0.4264365754836995,25403,0.28857961013144673,cox,12
